Year Week,destination_state,Index YOY Change-Booking-Hotel
"Feb 10, 2020 to Feb 16, 2020 (Week 7)",Kentucky,0.100374752
"Feb 17, 2020 to Feb 23, 2020 (Week 8)",Kentucky,0.132808345
"Feb 17, 2020 to Feb 23, 2020 (Week 8)",Hawaii,0.104866737
"Feb 17, 2020 to Feb 23, 2020 (Week 8)",Idaho,0.122968692
"Feb 17, 2020 to Feb 23, 2020 (Week 8)",Louisiana,0.08091437
"Feb 17, 2020 to Feb 23, 2020 (Week 8)",Maine,-0.052500114
"Feb 17, 2020 to Feb 23, 2020 (Week 8)",Kansas,0.089113437
"Feb 17, 2020 to Feb 23, 2020 (Week 8)",Illinois,0.056034671
"Feb 17, 2020 to Feb 23, 2020 (Week 8)",Indiana,0.047506126
"Feb 17, 2020 to Feb 23, 2020 (Week 8)",Maryland,-0.009557536
"Feb 17, 2020 to Feb 23, 2020 (Week 8)",Iowa,0.023742581
"Feb 24, 2020 to Mar 1, 2020 (Week 9)",Kansas,0.005952434
"Feb 24, 2020 to Mar 1, 2020 (Week 9)",Louisiana,0.015498359
"Feb 24, 2020 to Mar 1, 2020 (Week 9)",Idaho,0.116991564
"Feb 24, 2020 to Mar 1, 2020 (Week 9)",Hawaii,0.091967026
"Feb 24, 2020 to Mar 1, 2020 (Week 9)",Maine,-0.172811139
"Feb 24, 2020 to Mar 1, 2020 (Week 9)",Indiana,-0.00271869
"Feb 24, 2020 to Mar 1, 2020 (Week 9)",Illinois,0.036605952
"Feb 24, 2020 to Mar 1, 2020 (Week 9)",Iowa,-0.021636784
"Feb 24, 2020 to Mar 1, 2020 (Week 9)",Kentucky,0.075636772
"Feb 24, 2020 to Mar 1, 2020 (Week 9)",Maryland,-0.016089912
"Mar 2, 2020 to Mar 8, 2020 (Week 10)",Kansas,-0.143543889
"Mar 2, 2020 to Mar 8, 2020 (Week 10)",Kentucky,-0.039163728
"Mar 2, 2020 to Mar 8, 2020 (Week 10)",Iowa,-0.128272241
"Mar 2, 2020 to Mar 8, 2020 (Week 10)",Maine,-0.309405091
"Mar 2, 2020 to Mar 8, 2020 (Week 10)",Hawaii,-0.313356017
"Mar 2, 2020 to Mar 8, 2020 (Week 10)",Illinois,-0.09617688
