Year Week,destination_state,Index YOY Change-Search-Hotel
"Apr 6, 2020 to Apr 12, 2020 (Week 15)",Hawaii,-0.694558562
"Apr 6, 2020 to Apr 12, 2020 (Week 15)",Illinois,-0.957622033
"Apr 6, 2020 to Apr 12, 2020 (Week 15)",Louisiana,-0.947761584
"Apr 6, 2020 to Apr 12, 2020 (Week 15)",Maryland,-0.938092702
"Apr 6, 2020 to Apr 12, 2020 (Week 15)",Indiana,-0.905877615
"Apr 6, 2020 to Apr 12, 2020 (Week 15)",Kentucky,-0.765066555
"Apr 6, 2020 to Apr 12, 2020 (Week 15)",Iowa,-0.973215368
"Apr 6, 2020 to Apr 12, 2020 (Week 15)",Idaho,-0.919434306
"Apr 6, 2020 to Apr 12, 2020 (Week 15)",Maine,-1.057186819
"Apr 6, 2020 to Apr 12, 2020 (Week 15)",Kansas,-0.865089001
"Apr 13, 2020 to Apr 19, 2020 (Week 16)",Maryland,-0.908664135
"Apr 13, 2020 to Apr 19, 2020 (Week 16)",Kansas,-0.843716067
"Apr 13, 2020 to Apr 19, 2020 (Week 16)",Kentucky,-0.754772702
"Apr 13, 2020 to Apr 19, 2020 (Week 16)",Indiana,-0.877322555
"Apr 13, 2020 to Apr 19, 2020 (Week 16)",Idaho,-0.903263219
"Apr 13, 2020 to Apr 19, 2020 (Week 16)",Iowa,-0.947559722
"Apr 13, 2020 to Apr 19, 2020 (Week 16)",Illinois,-0.922250253
"Apr 13, 2020 to Apr 19, 2020 (Week 16)",Maine,-1.005491421
"Apr 13, 2020 to Apr 19, 2020 (Week 16)",Louisiana,-0.925975433
"Apr 13, 2020 to Apr 19, 2020 (Week 16)",Hawaii,-0.575082077
"Apr 20, 2020 to Apr 26, 2020 (Week 17)",Maine,-1.002251
"Apr 20, 2020 to Apr 26, 2020 (Week 17)",Iowa,-0.939796219
"Apr 20, 2020 to Apr 26, 2020 (Week 17)",Maryland,-0.886361349
"Apr 20, 2020 to Apr 26, 2020 (Week 17)",Louisiana,-0.92819846
"Apr 20, 2020 to Apr 26, 2020 (Week 17)",Kansas,-0.834547416
"Apr 20, 2020 to Apr 26, 2020 (Week 17)",Indiana,-0.876573202
"Apr 20, 2020 to Apr 26, 2020 (Week 17)",Kentucky,-0.756339516
"Apr 20, 2020 to Apr 26, 2020 (Week 17)",Hawaii,-0.67024667
"Apr 20, 2020 to Apr 26, 2020 (Week 17)",Illinois,-0.923588118
"Apr 20, 2020 to Apr 26, 2020 (Week 17)",Idaho,-0.888303906
"Apr 27, 2020 to May 3, 2020 (Week 18)",Illinois,-0.91123707
"Apr 27, 2020 to May 3, 2020 (Week 18)",Hawaii,-0.667671772
"Apr 27, 2020 to May 3, 2020 (Week 18)",Kentucky,-0.740404374
"Apr 27, 2020 to May 3, 2020 (Week 18)",Maine,-0.987805053
